run_id,scenario_name,software_version,seed,log_path,max_time_s,gps_period_s,gps_noise_std_m,waypoint_tolerance_m,slip_start_s,slip_end_s,left_wheel_traction,mission_success,waypoints_reached,duration_s,completion_time_s,telemetry_samples,localization_rmse_m,localization_max_error_m,detector_alerts,detector_false_positives,detection_latency_s,log_sequence_gaps,path_length_m,path_efficiency,cross_track_rmse_m,cross_track_max_error_m
2bbb540b-384b-4350-b7da-b2c2c607d8be,mild_slip,v1,3,artifacts/runs/mild_slip/v1_seed_3.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.65,False,2,38.0,,380,2.058538822092821,2.364971915804991,1,0,2.5,0,5.629740166492343,,1.430315591672342,1.6405261026004492
716fc5e0-c06f-4ba9-9c6f-daea0bc0e064,mild_slip,v2,3,artifacts/runs/mild_slip/v2_seed_3.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.65,True,3,12.1,12.1,121,0.1475527121485729,0.5350720444406218,1,0,3.0,0,6.547673515028083,0.8980191618332398,0.37095944434096295,0.8912888784460602
6a3c2291-cc50-4c5d-9ecf-c3b143534db1,mild_slip,v1,4,artifacts/runs/mild_slip/v1_seed_4.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.65,False,2,38.0,,380,2.058538822092821,2.364971915804991,1,0,2.5,0,5.629740166492343,,1.430315591672342,1.6405261026004492
24a8cced-1946-44bc-96bc-f7ed63d4b83e,mild_slip,v2,4,artifacts/runs/mild_slip/v2_seed_4.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.65,True,3,11.6,11.6,116,0.1270072682923109,0.40739635797810997,1,0,3.0,0,6.576572618096098,0.8978363304942437,0.3911185791222645,0.897163954153551
4e572310-5b7f-4580-ad07-bd872c725e93,severe_slip,v1,0,artifacts/runs/severe_slip/v1_seed_0.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.1,False,1,38.0,,380,0.3488231586024595,0.38535732118297955,1,0,1.5,0,3.742572759808853,,0.16427322762483904,0.1825647083510266
846a26b9-1a65-4bb6-9217-3f8300745d3a,severe_slip,v2,0,artifacts/runs/severe_slip/v2_seed_0.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.1,True,3,17.0,17.0,170,0.15423807201489173,0.47612348973737967,1,0,2.5,0,7.878974857186729,0.7347960819393135,0.1974350346441428,0.4642525571288724
e5dbd8e8-6959-4ea6-8525-5102ad7e3b80,severe_slip,v1,1,artifacts/runs/severe_slip/v1_seed_1.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.1,False,1,38.0,,380,0.3488231586024595,0.38535732118297955,1,0,2.5,0,3.742572759808853,,0.16427322762483904,0.1825647083510266
c9b6c882-0f3c-4192-a7ed-88046165684a,severe_slip,v2,1,artifacts/runs/severe_slip/v2_seed_1.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.1,True,3,15.9,15.9,159,0.1779638960351853,0.5371488550777718,1,0,2.0,0,7.554105226807591,0.7667223846492462,0.18519178719821425,0.45090121996939436
188d5c1c-cc5f-470b-a5ab-e56a5d76d6c2,severe_slip,v1,2,artifacts/runs/severe_slip/v1_seed_2.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.1,False,1,38.0,,380,0.3488231586024595,0.38535732118297955,1,0,2.0,0,3.742572759808853,,0.16427322762483904,0.1825647083510266
36bb9fa6-14d8-4071-b08b-34ce08c48a52,severe_slip,v2,2,artifacts/runs/severe_slip/v2_seed_2.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.1,True,3,16.9,16.9,169,0.10402918073940193,0.277483640943842,1,0,3.5,0,6.760490673331374,0.8573401557842802,0.209404093078582,0.5284399161940486
a9d9b13b-34d0-4d28-877f-1bf3efbbe953,severe_slip,v1,3,artifacts/runs/severe_slip/v1_seed_3.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.1,False,1,38.0,,380,0.3488231586024595,0.38535732118297955,1,0,2.0,0,3.742572759808853,,0.16427322762483904,0.1825647083510266
689aface-adbf-40fa-b633-11bfc6a9ad94,severe_slip,v2,3,artifacts/runs/severe_slip/v2_seed_3.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.1,True,3,16.9,16.9,169,0.18381950233851807,0.5556810066963406,1,0,2.5,0,7.94687521202084,0.7296624715452126,0.30668649343938104,0.6974510601420543
